"ensembl_gene_id","logFC","logCPM","F","PValue","FDR","entrezgene_id","external_gene_name"
"ENSMUSG00000000001",1.95645494992636,7.57280397898651,246.286304943148,1.07716926529035e-18,8.12398204352269e-18,14679,"Gnai3"
"ENSMUSG00000000028",0.950289269205981,3.87502728404547,5.67286865270493,0.02208334062881,0.0278132777570428,12544,"Cdc45"
"ENSMUSG00000000056",1.0940336552333,5.81320505735379,30.1429253640633,2.45535020715921e-06,4.51241644028792e-06,67608,"Narf"
"ENSMUSG00000000078",-1.04711746898227,7.49564714810608,124.479984018129,7.46504784343684e-14,2.96459945763785e-13,23849,"Klf6"
"ENSMUSG00000000085",-1.53429273983225,3.58178409527068,28.2873394682066,4.26792491868266e-06,7.67956553358183e-06,29871,"Scmh1"
"ENSMUSG00000000088",5.35593316979898,5.697412524548,165.25035099023,3.18432738432778e-16,1.72834557871146e-15,12858,"Cox5a"
"ENSMUSG00000000131",0.567635057795946,6.86430533992517,16.8830250640856,0.000191221735672145,0.000295087090063901,74204,"Xpo6"
"ENSMUSG00000000134",-0.334339291897142,5.31682396963541,3.02528016328947,0.0896658499875792,0.105667660289125,209446,"Tfe3"
"ENSMUSG00000000142",-4.03375471069662,1.73772091527887,77.0222273610502,7.32421431677751e-11,2.05575782495027e-10,12006,"Axin2"
"ENSMUSG00000000148",2.77637179200991,6.25519968629757,126.974617993731,5.56221942977875e-14,2.23668046328206e-13,231841,"Brat1"
"ENSMUSG00000000149",4.29457174520599,4.70062226079807,66.6349207319399,3.08533121677159e-10,8.10879197387084e-10,14673,"Gna12"
"ENSMUSG00000000168",1.95310611161093,6.20461110125326,89.898428523546,8.75839552777284e-12,2.69218148245647e-11,235339,"Dlat"
"ENSMUSG00000000171",7.85524543801484,7.46575978354621,686.428312970193,2.91785034820886e-28,8.612283362062e-27,66925,"Sdhd"
"ENSMUSG00000000184",-2.2027743360945,10.7050732487117,1548.38594220216,1.31851105691892e-33,9.12445286821865e-32,12444,"Ccnd2"
"ENSMUSG00000000194",-0.0775515313452311,5.99765491423838,0.248455842014244,0.620893810649771,0.650889908769186,277463,"Gpr107"
"ENSMUSG00000000244",1.82628820208889,9.31893527619939,504.540904622296,2.69863226561821e-24,4.50152958704588e-23,27027,"Tspan32"
"ENSMUSG00000000275",-1.21555217359673,5.2292397481803,50.2644289713149,1.40536335002684e-08,3.16902937714111e-08,217069,"Trim25"
"ENSMUSG00000000276",-1.21693545431624,3.62328463854022,16.7931772353805,0.000197718667471398,0.000304883256886789,56077,"Dgke"
"ENSMUSG00000000278",1.52287694749841,2.82398813831449,5.55626192249796,0.0232766764540775,0.0292667609200129,74617,"Scpep1"
"ENSMUSG00000000282",-3.52087379139644,2.87680420973666,122.228299726118,9.88314815843355e-14,3.85318627478784e-13,17428,"Mnt"
"ENSMUSG00000000290",2.42914678339192,10.1129486970469,1069.20618749056,1.7458122107332e-30,7.29820761727734e-29,16414,"Itgb2"
"ENSMUSG00000000295",1.28950210575298,5.44525175988934,28.790787907175,3.66881782076101e-06,6.65180246419442e-06,69692,"Hddc2"
"ENSMUSG00000000326",0.742490463137651,6.29474752711032,21.2247279615135,4.10198800203755e-05,6.72362960738669e-05,12846,"Comt"
"ENSMUSG00000000339",1.48992427657063,5.55703012184315,38.8931986393547,2.19853842749944e-07,4.42994896211869e-07,66368,"Rtca"
"ENSMUSG00000000340",-1.22583121753471,3.87452321738809,20.1915725063038,5.8504175457289e-05,9.45855982689114e-05,13171,"Dbt"
"ENSMUSG00000000346",1.93699796353362,9.38194738070948,611.314324991178,7.46358391690758e-26,1.57288120322978e-24,23994,"Dazap2"
"ENSMUSG00000000355",0.0106344535180164,5.8817980044364,0.0041418294533516,0.949006420538228,0.953662064281057,68995,"Mcts1"
"ENSMUSG00000000374",-2.57595212662582,3.99939569288059,131.804250248804,3.10408650069585e-14,1.28817074311697e-13,216131,"Trappc10"
"ENSMUSG00000000378",1.10919767565295,8.12356562888383,117.526589257482,1.78319932945053e-13,6.71700166687472e-13,216527,"Ccm2"
"ENSMUSG00000000384",-0.73434715022898,4.29900587952322,7.71736948525103,0.00828695245587377,0.0108981724515998,21379,"Tbrg4"
"ENSMUSG00000000386",-1.25368949773566,3.56531226572418,16.0967694322519,0.000256381877416214,0.000390637189600843,NA,"Mx1"
"ENSMUSG00000000399",2.32543455772192,7.12851585799521,224.990687914497,5.09168933319328e-18,3.51408909370388e-17,66108,"Ndufa9"
"ENSMUSG00000000409",1.88429159904043,10.8163279759624,783.061691849226,6.86828104830905e-28,1.90636678853066e-26,16818,"Lck"
"ENSMUSG00000000420",0.295226049662544,7.57504330127372,9.29170139216044,0.00406780603044167,0.00553506966437938,14423,"Galnt1"
"ENSMUSG00000000439",1.24123420512523,5.50637929801639,29.1369201280512,3.30773390529181e-06,6.01416841079331e-06,67027,"Mkrn2"
"ENSMUSG00000000441",2.99408524656995,7.21722244250485,332.552133944458,5.46916123165425e-21,5.65809589238412e-20,110157,"Raf1"
"ENSMUSG00000000486",0.660199520775369,9.13757685386584,82.6241102392371,2.80423396683287e-11,8.22950266140466e-11,100043580,"Septin1"
"ENSMUSG00000000486",0.660199520775369,9.13757685386584,82.6241102392371,2.80423396683287e-11,8.22950266140466e-11,54204,"Septin1"
"ENSMUSG00000000530",1.70311166323263,2.32784992559442,4.38774036316244,0.0422095903555534,0.0517007822663238,11482,"Acvrl1"
"ENSMUSG00000000531",-0.173587093649201,2.42248813660715,0.109955319908904,0.741926612534537,0.765469161436358,56149,"Tamalin"
"ENSMUSG00000000532",-1.28576228365105,2.85159209494764,11.5847299415047,0.00152370732098331,0.00216296748184492,11479,"Acvr1b"
"ENSMUSG00000000538",-0.437367989693726,3.79928089520427,1.89904962595971,0.175845721505324,0.199979111665282,216810,"Tom1l2"
"ENSMUSG00000000555",7.81812045478739,2.97251432382746,24.1246930889501,1.74787454789337e-05,2.98362185325398e-05,16402,"Itga5"
"ENSMUSG00000000561",1.39045711189405,5.18468464822855,27.6929782215214,5.11644577709822e-06,9.14212101344033e-06,70465,"Wdr77"
