"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000030707.16",5.27984060654871,10.7656835082602,3308.39401112728,4.35001543631519e-40,1.34788127620205e-37
"ENSMUSG00000018293.5",6.55308894726358,10.3764496328548,2900.18234328162,5.90919388926372e-39,1.32323616500159e-36
"ENSMUSG00000024399.6",4.23533495302088,10.3641230928037,2318.87842656874,4.81577917400325e-37,6.85044587501962e-35
"ENSMUSG00000073411.13",2.6102406572622,12.2954463504402,1830.66284801587,4.99080997282595e-35,4.77718464875546e-33
"ENSMUSG00000006731.11",6.57347684863614,9.22375343523875,1805.84581659045,7.06376737399513e-35,6.51775724724848e-33
"ENSMUSG00000040385.8",6.33567142894417,9.34719998659584,1674.24605800191,2.98727472006989e-34,2.33554715137067e-32
"ENSMUSG00000039264.10",2.56803256402779,11.2070901542432,1635.9661819859,4.50317961102377e-34,3.44190787881384e-32
"ENSMUSG00000033685.14",3.56587445547999,9.45040781875002,1407.09409690322,8.51409942660115e-33,5.22164109744006e-31
"ENSMUSG00000001588.13",3.27736455345974,9.6196850217647,1341.71256263586,2.1477340079088e-32,1.24277354288146e-30
"ENSMUSG00000048521.9",2.55327547848126,11.2552694810832,1308.85127768267,3.47691393020534e-32,1.9674338382963e-30
"ENSMUSG00000016319.4",4.23617268372233,9.10152855943846,1300.40739140806,3.94853732050259e-32,2.19787604546671e-30
"ENSMUSG00000025393.13",2.90667422733986,9.81084503514918,1275.38170122671,5.75017338925894e-32,3.11604634141746e-30
"ENSMUSG00000063229.16",3.54740459341907,9.42676757838505,1255.9286895146,7.75081129585173e-32,4.11315074052401e-30
"ENSMUSG00000024816.13",5.73437764330711,8.49297137191962,1240.07720691053,1.06331468398038e-31,5.47259748408396e-30
"ENSMUSG00000002033.15",2.86787391665506,9.73552751078531,1234.13313371763,1.08816444674174e-31,5.54476630026316e-30
"ENSMUSG00000027134.5",8.0437218553995,8.13555664604279,1029.36589562,2.23320748059681e-31,1.0738268082757e-29
