"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000119584.1",-11.4373137876934,17.1473367750588,11139.9564345876,1.45215814616812e-50,1.31894763426367e-46
"ENSMUSG00000064337.1",-10.9002947059007,13.2645687347919,10808.0578637124,2.65611055128292e-50,1.31894763426367e-46
"ENSMUSG00000064339.1",-8.19483840795823,14.6000685859127,10606.3123831486,3.86334983674186e-50,1.31894763426367e-46
"ENSMUSG00000064363.1",-7.07538963938194,12.0949821991396,9376.87672407875,4.49958954996089e-49,1.15211990426748e-45
"ENSMUSG00000064345.1",-6.74064067255685,11.3472748907408,8236.29768529319,5.95635505205207e-48,1.22009976886235e-44
"ENSMUSG00000039001.13",-7.24580276944208,9.95427216553372,7555.08948883324,3.32227814846759e-47,5.67112879943418e-44
"ENSMUSG00000061983.8",-6.02615581022531,9.72746194725022,6221.08791111808,1.58342845707851e-45,2.31678203677116e-42
"ENSMUSG00000111966.2",-11.9883039159696,7.69541576516402,4422.94976645863,7.29825258363538e-45,9.13110747298784e-42
"ENSMUSG00000077704.3",-11.7478562305054,7.31702638483759,4399.88260444681,8.15304249107171e-45,9.13110747298784e-42
"ENSMUSG00000007892.9",-5.30001672352479,10.7716031984568,5702.95458702464,8.91535586114806e-45,9.13110747298784e-42
"ENSMUSG00000034892.9",-5.95992622195861,9.36600285352001,5595.02698640243,1.30328640959239e-44,1.21347812791321e-41
"ENSMUSG00000025362.7",-6.09399248677076,9.5893010773866,5317.5214758369,3.57976431788386e-44,3.05532884531388e-41
"ENSMUSG00000028234.7",-5.0418759811892,9.86238605180758,4978.81582887691,1.32223716631897e-43,1.04171946595684e-40
"ENSMUSG00000050621.8",-11.5455854456968,7.00092722058767,3801.07737652209,1.80988869113141e-43,1.29993204915983e-40
"ENSMUSG00000030795.19",-6.26914857500841,9.25853558950201,4888.23696964122,1.90382549671914e-43,1.29993204915983e-40
"ENSMUSG00000088252.3",-11.5434781117967,6.99806920553238,3698.83820130628,3.22841362125878e-43,2.06658826930828e-40
"ENSMUSG00000041841.9",-5.40413829342297,9.42081370842473,4647.13356746137,5.19351722326519e-43,3.12894137651071e-40
"ENSMUSG00000040225.16",-4.95865335439434,8.92001273894697,4563.28376059587,7.45281730596065e-43,4.24065304709161e-40
"ENSMUSG00000064368.1",-6.35674371166077,8.52082239725169,4523.81553721331,8.85745937915662e-43,4.77463678743801e-40
"ENSMUSG00000108366.2",-11.9508259928693,6.91614654687054,3451.31599889255,1.07238241636631e-42,5.49167035421188e-40
"ENSMUSG00000101609.4",-7.65253471945395,7.7321023997085,4425.0862174992,1.3804980606679e-42,6.732886255886e-40
"ENSMUSG00000064372.1",-10.7878685057144,7.16331144305307,3920.69882225093,2.18579787098277e-42,1.01758826339116e-39
"ENSMUSG00000028936.16",-5.08502591265222,8.83154209926746,4219.94764398575,3.51475793735519e-42,1.56513699106052e-39
"ENSMUSG00000025290.18",-4.64440810989367,9.01542674818668,4147.52621548448,4.95316854708161e-42,2.11376467746708e-39
"ENSMUSG00000092341.6",-4.02449902881941,12.2731540554597,3844.42137174442,2.22733784507691e-41,9.1249576837111e-39
"ENSMUSG00000008683.17",-4.86313056753924,8.89510000022237,3705.31531545896,4.62091723938863e-41,1.82028593714686e-38
"ENSMUSG00000057322.13",-5.03415563864735,8.31586841556506,3567.67912430107,9.77487040970571e-41,3.70793417541503e-38
"ENSMUSG00000024608.12",-3.89758987696108,10.8720971916738,3560.27532437294,1.01840195671416e-40,3.72516887166658e-38
"ENSMUSG00000086503.5",-5.54882326217526,7.71382374110482,3538.75510407746,1.14855653129279e-40,4.0563848253451e-38
"ENSMUSG00000055435.7",-4.58126403588443,8.22602580526913,3451.7002429068,1.87959754005373e-40,6.41694600174344e-38
"ENSMUSG00000067288.14",-5.70287269838193,7.997436356938,3347.68028824021,3.44329062722446e-40,1.13761879367848e-37
"ENSMUSG00000064341.1",-3.55796039285121,10.4894698982974,3319.67934058757,4.06424810706472e-40,1.3008134097674e-37
"ENSMUSG00000025508.14",-5.32236705793017,9.70727171380606,3303.58108013604,4.47451312154557e-40,1.34788127620205e-37
"ENSMUSG00000050299.9",-7.48544325841834,7.41488522147166,3265.02973432651,5.68001978265035e-40,1.662136074683e-37
"ENSMUSG00000079435.10",-5.48311557930247,8.07101383427176,3227.13467002079,7.1086511266918e-40,2.02241124554382e-37
"ENSMUSG00000046721.12",-6.66525593036024,7.14652167295771,3170.01875051102,1.01389011157417e-39,2.8065574385791e-37
"ENSMUSG00000029823.17",-5.59554975975004,7.41015290269519,3118.70067933188,1.3971142212266e-39,3.76559048784285e-37
"ENSMUSG00000059291.16",-4.42437242918279,8.70783602267795,3104.19207744753,1.53137311856365e-39,4.02162140521253e-37
"ENSMUSG00000047675.16",-3.8574236741599,9.04386295841602,3046.98052950156,2.21131507628411e-39,5.66207225282547e-37
"ENSMUSG00000034342.10",-4.85949224551616,7.89738575918865,3041.17150942792,2.29647895444108e-39,5.73671645155744e-37
"ENSMUSG00000040459.12",-4.37594170314938,8.02927893491652,2964.32317725266,3.80675133302961e-39,9.2830350364022e-37
